,n_topics,disaster_type,coherence_score
0,2,earthquake,-3.5504466669932713
1,2,fire,-3.0690086837634354
2,2,flood,-3.0511021243170884
3,2,hurricane,-3.3351255505965813
4,3,earthquake,-4.2117919715285765
5,3,fire,-3.491588595342943
6,3,flood,-3.2039004658358734
7,3,hurricane,-3.4112756483005526
8,4,earthquake,-4.988686871672039
9,4,fire,-3.3785038899577753
10,4,flood,-3.296931559157102
11,4,hurricane,-3.489868633327139
12,5,earthquake,-5.204389550654555
13,5,fire,-3.628808307300546
14,5,flood,-3.861990841265711
15,5,hurricane,-3.4904876860675573
16,6,earthquake,-4.9309012717619805
17,6,fire,-3.876965540377696
18,6,flood,-3.8373028782892766
19,6,hurricane,-3.8022454459822437
20,7,earthquake,-5.5023128040695095
21,7,fire,-3.7483725740498373
22,7,flood,-3.9622176605233337
23,7,hurricane,-3.5093131140025977
24,8,earthquake,-5.4166982770653505
25,8,fire,-4.1855265033136195
26,8,flood,-4.15663606678803
27,8,hurricane,-3.730819116979119
28,9,earthquake,-5.822105894707005
29,9,fire,-3.9108716084956865
30,9,flood,-4.2933641060922065
31,9,hurricane,-3.7786191188485296
32,10,earthquake,-6.231895658110245
33,10,fire,-4.665275664444153
34,10,flood,-4.220672701266573
35,10,hurricane,-3.711255590570441
36,11,earthquake,-6.497944988562199
37,11,fire,-5.1714292174562
38,11,flood,-4.120641396796781
39,11,hurricane,-3.8922058199426215
40,12,earthquake,-6.454575134944753
41,12,fire,-4.636161639329431
42,12,flood,-4.222337413145598
43,12,hurricane,-3.9696990897837394
44,13,earthquake,-6.781856726542784
45,13,fire,-5.1862873351247805
46,13,flood,-4.118874729652111
47,13,hurricane,-4.125070973592163
48,14,earthquake,-6.89860058920049
49,14,fire,-5.144357124090673
50,14,flood,-4.404350949463663
51,14,hurricane,-4.072512551029836
52,15,earthquake,-6.904285701872534
53,15,fire,-4.7095034819887625
54,15,flood,-4.560379925257668
55,15,hurricane,-4.487740262267268
56,16,earthquake,-7.12820953282427
57,16,fire,-4.9637715509898666
58,16,flood,-4.495615636864585
59,16,hurricane,-4.443787916478187
60,17,earthquake,-6.878894516474091
61,17,fire,-5.89908977593527
62,17,flood,-4.910259286678038
63,17,hurricane,-4.698558757662859
64,18,earthquake,-7.781213142823189
65,18,fire,-5.724925952885742
66,18,flood,-4.946343764397199
67,18,hurricane,-4.680673773403588
68,19,earthquake,-7.582992217667641
69,19,fire,-5.979679696002159
70,19,flood,-5.16829176687934
71,19,hurricane,-4.565424115425133
72,20,earthquake,-7.897188688668306
73,20,fire,-5.971847720650294
74,20,flood,-4.969682194226246
75,20,hurricane,-4.870713409779443
76,21,earthquake,-8.702098183191456
77,21,fire,-6.185880814214138
