,learning_decay,disaster_type,n_topics,log_liklihood_score
0,0.7,earthquake,2,-113583
0,0.7,earthquake,3,-117136
0,0.7,earthquake,4,-119903
0,0.7,earthquake,5,-122374
0,0.7,earthquake,6,-124532
0,0.7,earthquake,7,-126765
0,0.7,earthquake,8,-128389
0,0.7,earthquake,9,-129554
0,0.7,earthquake,10,-131496
0,0.7,earthquake,11,-132959
0,0.7,earthquake,12,-134471
0,0.7,earthquake,13,-135585
0,0.7,earthquake,14,-136609
0,0.7,earthquake,15,-137717
0,0.7,earthquake,16,-138763
0,0.7,earthquake,17,-140748
0,0.7,earthquake,18,-141725
0,0.7,earthquake,19,-142585
0,0.7,earthquake,20,-144291
0,0.7,earthquake,21,-145270
0,0.7,earthquake,22,-146663
0,0.7,earthquake,23,-147656
0,0.7,earthquake,24,-149056
0,0.7,earthquake,25,-149706
0,0.7,earthquake,26,-150650
0,0.7,earthquake,27,-151708
0,0.7,earthquake,28,-153207
0,0.7,earthquake,29,-153802
1,0.7,fire,2,-188632
1,0.7,fire,3,-192713
1,0.7,fire,4,-196816
1,0.7,fire,5,-200112
1,0.7,fire,6,-202947
1,0.7,fire,7,-205120
1,0.7,fire,8,-208110
1,0.7,fire,9,-210395
1,0.7,fire,10,-212870
1,0.7,fire,11,-214938
1,0.7,fire,12,-217032
1,0.7,fire,13,-218537
1,0.7,fire,14,-220598
1,0.7,fire,15,-223183
1,0.7,fire,16,-223827
1,0.7,fire,17,-226628
1,0.7,fire,18,-227622
1,0.7,fire,19,-229615
1,0.7,fire,20,-231477
1,0.7,fire,21,-233289
1,0.7,fire,22,-235130
1,0.7,fire,23,-236682
1,0.7,fire,24,-238226
1,0.7,fire,25,-239009
1,0.7,fire,26,-241027
1,0.7,fire,27,-242905
1,0.7,fire,28,-244165
1,0.7,fire,29,-245388
2,0.7,flood,2,-223032
2,0.7,flood,3,-228264
2,0.7,flood,4,-233472
2,0.7,flood,5,-236539
2,0.7,flood,6,-240450
2,0.7,flood,7,-243229
2,0.7,flood,8,-247054
2,0.7,flood,9,-249847
2,0.7,flood,10,-252633
2,0.7,flood,11,-254988
2,0.7,flood,12,-257280
2,0.7,flood,13,-259396
2,0.7,flood,14,-261584
2,0.7,flood,15,-264299
2,0.7,flood,16,-266169
2,0.7,flood,17,-268883
2,0.7,flood,18,-270878
2,0.7,flood,19,-272611
2,0.7,flood,20,-274688
2,0.7,flood,21,-276358
2,0.7,flood,22,-279093
2,0.7,flood,23,-280398
2,0.7,flood,24,-281934
2,0.7,flood,25,-284263
2,0.7,flood,26,-285329
2,0.7,flood,27,-286898
2,0.7,flood,28,-288997
2,0.7,flood,29,-291415
3,0.7,hurricane,2,-665272
3,0.7,hurricane,3,-672488
3,0.7,hurricane,4,-677930
3,0.7,hurricane,5,-682732
3,0.7,hurricane,6,-688554
3,0.7,hurricane,7,-693424
3,0.7,hurricane,8,-697218
3,0.7,hurricane,9,-700682
3,0.7,hurricane,10,-704366
3,0.7,hurricane,11,-707380
3,0.7,hurricane,12,-709229
3,0.7,hurricane,13,-710240
3,0.7,hurricane,14,-712506
3,0.7,hurricane,15,-716700
3,0.7,hurricane,16,-717550
3,0.7,hurricane,17,-720095
3,0.7,hurricane,18,-722169
3,0.7,hurricane,19,-724132
3,0.7,hurricane,20,-727491
3,0.7,hurricane,21,-729093
3,0.7,hurricane,22,-731010
3,0.7,hurricane,23,-732027
3,0.7,hurricane,24,-736213
3,0.7,hurricane,25,-736711
3,0.7,hurricane,26,-738780
3,0.7,hurricane,27,-739422
3,0.7,hurricane,28,-741469
3,0.7,hurricane,29,-744368
